(743,587.888,828.069)
(745,6056.68,-1835.27)
(749,359.827,-525.841)
(757,6112.05,-948.493)
(758,5967.16,75.1678)
(772,2979.91,331.917)
(778,-781.033,-1655.25)
(783,2550.92,380.175)
(797,-1608.77,1291.97)
(800,4960.29,-1075.7)
(809,2214.34,625.36)
(811,392.852,-294.778)
(816,1638.68,94.7381)
(830,927.254,-787.149)
(834,6244.71,-1404.06)
(835,-644.931,-1221.7)
(841,-800.159,-1226.81)
(856,620.69,366.387)
(868,1639.57,1410.51)
(871,-882.777,1185.78)
(879,4006.13,1350.35)
(890,-655.939,-1424.96)
(891,1737.53,1044.34)
(904,2364.45,392.296)
(911,2430.5,1149.31)
(913,465.684,-306.008)
(920,182.471,769.135)
(923,4049.05,-1507.58)
(943,720.766,395.409)
(982,2986.03,226.504)
(983,2434.5,1440.53)
(991,2400.81,35.8048)
(993,4924.93,-1306.99)
(1001,2610.86,357.158)
(1002,6564.61,-756.014)
(1009,6169.98,-127.318)
(1053,4445.13,831.071)
(1058,388.515,-180.025)
(1065,2429.5,783.924)
(1101,2280.27,-886.112)
(1102,3000.37,1285.64)
(1103,2303.18,1459.21)
(1106,3055.19,1226.37)
(1128,4026.81,150.447)
(1133,2691.25,-200.929)
(1136,-1222.03,1010.54)
(1137,1321.55,-755.236)
(1182,3343.97,863.317)
(1183,3725.03,-2269.82)
(1191,6015.87,44.9228)
(1193,1645.68,1391.05)
(1194,4159.47,-1118.4)
(1199,3950.64,-2042.54)
(1209,1984.16,809.388)
(1210,4308.69,545.189)
(1219,4361.73,-1883.86)
(1242,3732.15,-69.9416)
(1248,402.414,331.917)
(1253,2271.38,1511.81)
(1274,392.073,343.926)
(1320,5987.29,-880.553)
(1323,-697.081,-246.63)
(1325,1301.09,1100.5)
(1326,3224.32,569.652)
(1329,2890.29,879.774)
(1330,412.311,358.048)
(1333,243.739,717.096)
(1338,458.79,-410.309)
(1347,3633.52,-339.589)
(1359,2735.28,-1777.12)
(1361,4525.97,-777.809)
(1377,4768.26,959.167)
(1409,3201.52,328.692)
(1413,4555.1,745.784)
(1424,5035.13,-490.147)
(1435,6215.91,221.945)
(1440,2426.83,505.715)
