(1790,6393.82,-1035.89)
(1793,2477.98,959.946)
(1797,3200.19,958.5)
(1804,4746.69,-1199.35)
(1807,444.557,610.015)
(1808,-634.812,-2042.87)
(1814,2258.81,1485.12)
(1826,664.278,-1762.77)
(1834,-1251.17,-412.867)
(1842,2499.88,346.595)
(1849,6390.04,154.227)
(1850,5967.94,833.74)
(1852,126.54,789.15)
(1854,-1000.2,1298.53)
(1879,3048.63,794.043)
(1880,5024.45,-1610.77)
(1890,4112.43,-17.9024)
(1893,5226.38,-2135.16)
(1898,6479.22,1218.36)
(1909,3455.27,881.442)
(1914,1410.4,-2485.32)
(1917,3957.98,267.09)
(1918,3638.97,314.57)
(1920,5485.13,-495.929)
(1922,3304.82,117.088)
(1927,-111.973,1108.28)
(1929,1609.21,-2444.73)
(1934,571.987,824.733)
(1935,6242.82,-1895.87)
(1936,6736.52,-131.766)
(1947,-2037.87,-1739.53)
(1948,-1667.03,-114.308)
(1951,1980.38,740.669)
(1959,2825.13,1186.67)
(1964,6629,-190.81)
(1965,3418.8,1123.62)
(1968,-406.306,-2078.12)
(1970,-2067.89,-1436.64)
(1975,-232.731,-282.102)
(1977,-1069.03,-1509.69)
(1983,578.325,-1942.35)
(1988,-292.776,1555.17)
(1992,1854.4,882.554)
(1995,-66.2722,-2401.7)
(2000,3172.39,828.625)
(2001,3451.6,-2414.38)
(2004,1614.55,1108.72)
(2013,315.905,313.57)
(2029,3003.71,-264.866)
(2045,-1288.08,1591.76)
(2064,-30.4674,1504.02)
(2083,-1026.77,104.746)
(2085,3145.04,576.657)
(2086,3230.44,820.174)
(2087,569.096,405.083)
(2088,2211.78,369.612)
(2098,-1046.57,-1.22314)
(2099,1996.28,1491.9)
(2101,800.27,1590.98)
(2102,-975.735,174.131)
(2103,1557.06,1122.07)
(2106,5705.75,-1212.02)
(2112,313.681,-486.478)
(2113,3799.64,516.5)
(2124,5590.77,-2327.2)
(2132,3021.28,461.459)
(2136,4109.88,1052.57)
(2141,4302.58,-1934.9)
(2146,2107.48,1242.49)
(2148,2272.16,1432.19)
(2149,283.992,353.489)
(2151,866.431,-2.44629)
(2154,6297.3,-1354.24)
(2166,1872.97,1457.88)
(2167,6600.75,940.042)
(2168,2924.87,877.106)
(2172,5200.7,54.8191)
(2180,1735.75,-2436.17)
